system:index,elevation,latitude,longitude,.geo
3007_0,500.03806,64.31889479658436,-49.95062034710298,"{""type"":""MultiPoint"",""coordinates"":[]}"
3008_0,347.3784,67.43065214563995,-51.10618803536875,"{""type"":""MultiPoint"",""coordinates"":[]}"
3010_0,1054.4861,70.59390049318247,-53.70548011480324,"{""type"":""MultiPoint"",""coordinates"":[]}"
3024_0,1443.0968,62.66482190122185,-48.821693933698796,"{""type"":""MultiPoint"",""coordinates"":[]}"
3036_0,24.612133,68.66091972633089,-50.9294452062445,"{""type"":""MultiPoint"",""coordinates"":[]}"
3041_0,868.97797,66.24553014150618,-49.76489082670778,"{""type"":""MultiPoint"",""coordinates"":[]}"
3043_0,691.4745,80.36999820446343,-58.153367434338016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3050_0,280.26346,67.46733659018113,-53.1839664832826,"{""type"":""MultiPoint"",""coordinates"":[]}"
3056_0,252.76106,66.47644288693934,-51.88741663985971,"{""type"":""MultiPoint"",""coordinates"":[]}"
3070_0,889.55493,69.56330574633392,-49.820941376065456,"{""type"":""MultiPoint"",""coordinates"":[]}"
3077_0,51.244995,69.60490187409292,-53.26932282326837,"{""type"":""MultiPoint"",""coordinates"":[]}"
3083_0,659.49664,66.58229413246576,-50.05714344354731,"{""type"":""MultiPoint"",""coordinates"":[]}"
3092_0,1169.6467,62.161018730230985,-48.55184368683743,"{""type"":""MultiPoint"",""coordinates"":[]}"
