system:index,distance_to_sea,.geo
1532,619.0543328357751,"{""type"":""Point"",""coordinates"":[-53.18410109415115,65.75158212819564]}"
1535,558.880798613365,"{""type"":""Point"",""coordinates"":[-67.4373080811859,80.3259859295033]}"
1547,51729.114699773796,"{""type"":""Point"",""coordinates"":[-66.17779083385992,78.62371159566231]}"
1557,2959.404535386518,"{""type"":""Point"",""coordinates"":[-51.472527677557174,70.0213843457833]}"
1560,30013.58549528561,"{""type"":""Point"",""coordinates"":[-49.35616886681028,64.81053114679301]}"
1561,913.4019406951364,"{""type"":""Point"",""coordinates"":[-53.354829062666745,67.19428205834276]}"
1570,20287.261557367183,"{""type"":""Point"",""coordinates"":[-52.94008818437343,70.57586861571997]}"
1586,7294.748766494021,"{""type"":""Point"",""coordinates"":[-43.482847420659304,60.189557994717724]}"
1592,18193.109146214185,"{""type"":""Point"",""coordinates"":[-65.4000215346359,77.13103922518316]}"
1593,46454.48664972618,"{""type"":""Point"",""coordinates"":[-49.38590349579275,66.66034509673139]}"
1594,4018.7701023753248,"{""type"":""Point"",""coordinates"":[-51.68779901130395,64.45417546287072]}"
1600,9659.21299379108,"{""type"":""Point"",""coordinates"":[-59.29412309511751,75.9706658364644]}"
1609,36813.6645114887,"{""type"":""Point"",""coordinates"":[-52.64728927689029,72.5495553767585]}"
1613,24136.201563922026,"{""type"":""Point"",""coordinates"":[-61.93952983275685,80.6342608919553]}"
1619,26.87763398024082,"{""type"":""Point"",""coordinates"":[-50.71825268855296,69.21153208404687]}"
1628,6353.917654017798,"{""type"":""Point"",""coordinates"":[-52.89585492752886,66.08165349879212]}"
1643,39187.55975835265,"{""type"":""Point"",""coordinates"":[-48.85760166753726,64.41979874565877]}"
1649,8119.190692864962,"{""type"":""Point"",""coordinates"":[-50.13332466080971,68.86590627283633]}"
1654,14333.965225793749,"{""type"":""Point"",""coordinates"":[-67.89903874826467,76.18454379113447]}"
1660,4023.5701200727153,"{""type"":""Point"",""coordinates"":[-52.68668032772197,69.87529161547941]}"
1662,62194.71608864033,"{""type"":""Point"",""coordinates"":[-47.39507729755451,61.92093043394995]}"
1698,1405.5130683498085,"{""type"":""Point"",""coordinates"":[-69.95040324828784,77.70628399888625]}"
1701,41440.093588663716,"{""type"":""Point"",""coordinates"":[-54.7212632594931,74.21343132269806]}"
1716,9767.957465615451,"{""type"":""Point"",""coordinates"":[-65.24961163001001,76.2966586884634]}"
1727,53189.86611312985,"{""type"":""Point"",""coordinates"":[-68.34699276810426,78.20396158906912]}"
1733,3117.726564950805,"{""type"":""Point"",""coordinates"":[-52.87667328345168,66.05162067646836]}"
1737,175.55999779386087,"{""type"":""Point"",""coordinates"":[-53.48999093572493,66.14294318295815]}"
1739,41249.17444855933,"{""type"":""Point"",""coordinates"":[-46.179250841499226,61.6427943489757]}"
1758,580.6533280725519,"{""type"":""Point"",""coordinates"":[-65.5452998349868,76.24485514875337]}"
1762,6707.606228803322,"{""type"":""Point"",""coordinates"":[-48.862748135479315,61.83255519952217]}"
1778,5066.9063081292,"{""type"":""Point"",""coordinates"":[-49.993601390364056,62.40957112330222]}"
1786,4952.214468933479,"{""type"":""Point"",""coordinates"":[-52.20316169737422,67.32307746653093]}"
1787,21979.473618153977,"{""type"":""Point"",""coordinates"":[-49.44845651572601,62.825593186530746]}"
1799,50510.71998553855,"{""type"":""Point"",""coordinates"":[-49.198279948389796,66.79785873302333]}"
1804,16615.848409313934,"{""type"":""Point"",""coordinates"":[-65.3272437155395,77.4997807819306]}"
1819,7894.062846424834,"{""type"":""Point"",""coordinates"":[-52.48508370333313,67.43404343368789]}"
1822,1772.615888188751,"{""type"":""Point"",""coordinates"":[-69.79144225464262,77.84457108791335]}"
1829,11334.573062602665,"{""type"":""Point"",""coordinates"":[-50.09573937440949,69.3749691354969]}"
1846,2446.720167311913,"{""type"":""Point"",""coordinates"":[-44.721433300962275,60.16016818170336]}"
1854,6637.789561804743,"{""type"":""Point"",""coordinates"":[-48.776241121550896,61.78269013757394]}"
1855,4285.633834157845,"{""type"":""Point"",""coordinates"":[-52.519263059425334,66.75553200282832]}"
1858,8736.253596847126,"{""type"":""Point"",""coordinates"":[-72.21124142884464,78.32838926285653]}"
1859,11767.710239847576,"{""type"":""Point"",""coordinates"":[-51.2518176955617,65.19632489078695]}"
1875,154.05900401297387,"{""type"":""Point"",""coordinates"":[-58.33429342258333,75.65686010391856]}"
1882,15256.86864453391,"{""type"":""Point"",""coordinates"":[-60.814821994441196,76.29844987086426]}"
1889,757.2241319740793,"{""type"":""Point"",""coordinates"":[-50.526225402398886,64.50670197384994]}"
1895,5230.21919809227,"{""type"":""Point"",""coordinates"":[-52.117264277194394,66.41940955398843]}"
1902,22711.83616032762,"{""type"":""Point"",""coordinates"":[-54.607249698775824,73.55387738538964]}"
